filename,detected_shape,vertices,area,bbox_x,bbox_y,bbox_width,bbox_height,circularity,confidence
IMG_20260708_182142_499.jpg,Square,4,364056.5,1155,1099,690,701,0.680,0.954
IMG_20260708_182142_499.jpg,Rectangle,4,57091.5,23,0,361,169,0.508,0.960
IMG_20260708_182222_582.jpg,Hexagon,6,500727.5,1957,1019,848,845,0.785,0.934
IMG_20260708_182317_773.jpg,Rectangle,4,355209.0,929,1194,876,736,0.628,0.983
IMG_20260708_182326_286.jpg,Pentagon,5,245600.5,1155,1149,606,599,0.774,0.953
IMG_20260708_182534_352.jpg,Nonagon,9,317963.5,1134,1496,643,653,0.838,0.925
IMG_20260708_182541_237.jpg,Decagon,10,404990.5,981,1510,727,739,0.845,0.928
IMG_20260708_183035_945.jpg,Octagon,8,224371.0,1119,1379,529,545,0.773,0.932
IMG_20260708_183127_142.jpg,Ellipse,8,324797.5,1711,1462,740,616,0.738,0.952
IMG_20260711_102851_918.jpg,Rectangle,4,3005.5,1710,1011,69,80,0.699,0.916
IMG_20260711_102851_918.jpg,Triangle,3,2769.0,1849,168,62,81,0.623,0.896
IMG_20260711_102851_918.jpg,Rectangle,4,2182.5,2451,1635,61,57,0.687,0.941
IMG_20260711_103824_118.jpg,Heptagon,7,419903.0,1263,1198,778,761,0.675,0.885
IMG_20260711_103919_875.jpg,Hexagon,6,1857.0,3058,1924,55,51,0.690,0.792
IMG_20260711_104920_298.jpg,Circle,8,341479.0,2027,1032,662,657,0.887,0.943
IMG_20260711_104944_135.jpg,Octagon,8,302075.0,1345,1941,617,623,0.832,0.946
IMG_20260711_105037_348.jpg,Rectangle,4,160271.5,864,2199,686,528,0.457,0.925
IMG_20260711_105037_348.jpg,Square,4,116540.5,626,1996,407,445,0.671,0.931
test2.jpg,Triangle,3,371848.5,1313,2024,827,929,0.536,0.959
